position,team_name,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points,match_date
1,Liverpool,24,16,6,2,55,23,32,54,2024-02-13
2,Manchester City,23,16,4,3,56,25,31,52,2024-02-13
3,Arsenal,24,16,4,4,53,22,31,52,2024-02-13
4,Tottenham Hotspur,24,14,5,5,51,36,15,47,2024-02-13
5,Aston Villa,24,14,4,6,50,32,18,46,2024-02-13
6,Manchester United,24,13,2,9,33,33,0,41,2024-02-13
7,Newcastle United,24,11,3,10,51,39,12,36,2024-02-13
8,West Ham United,24,10,6,8,36,42,-6,36,2024-02-13
9,Brighton and Hove Albion,24,9,8,7,43,40,3,35,2024-02-13
10,Chelsea,24,10,4,10,41,40,1,34,2024-02-13
11,Wolverhampton Wanderers,24,9,5,10,37,39,-2,32,2024-02-13
12,Fulham,24,8,5,11,33,39,-6,29,2024-02-13
13,AFC Bournemouth,23,7,6,10,31,44,-13,27,2024-02-13
14,Brentford,23,7,4,12,34,39,-5,25,2024-02-13
15,Crystal Palace,24,6,6,12,27,43,-16,24,2024-02-13
16,Nottingham Forest,24,5,6,13,30,44,-14,21,2024-02-13
17,Luton Town,23,5,5,13,33,45,-12,20,2024-02-13
18,Everton,24,8,5,11,26,32,-6,19,2024-02-13
19,Burnley,24,3,4,17,25,50,-25,13,2024-02-13
20,Sheffield United,24,3,4,17,22,60,-38,13,2024-02-13
